,Date(UTC),price,Supply,MarketCap,Price,supply growth,daily trans.,No. of ERC20 Token Transfers,uniq. address,avg blk size,avg blk time,avg gas price,avg gas limit,daily gas used,daily blk reward,blk count reward,uncle count reward,net hashrte,net diff.,net trans. fee,net util.
0,07/30/2015,0.0,72049306.59375,0.0,0.00,72049306.59375,8893,0,9205,644,4.46,0,0,0,39316.09375,6912,1299,11.5297,0.121,0,0.0
1,07/31/2015,0.0,72085498.3125,0.0,0.00,72085498.3125,0,0,9361,582,12.58,0,0,0,36191.71875,6863,511,51.4594,0.603,0,0.0
2,08/01/2015,0.0,72113204.25,0.0,0.00,72113204.25,0,0,9476,575,16.34,0,0,0,27705.9375,5293,334,57.7845,0.887,0,0.0
3,08/02/2015,0.0,72141427.6875,0.0,0.00,72141427.6875,0,0,9563,581,16.12,0,0,0,28223.4375,5358,394,67.9224,1.02,0,0.0
4,08/03/2015,0.0,72169404.40625,0.0,0.00,72169404.40625,0,0,9639,587,16.37,0,0,0,27976.71875,5280,443,74.5737,1.126,0,0.0
5,08/04/2015,0.0,72197882.84375,0.0,0.00,72197882.84375,0,0,9696,587,16.1,0,0,0,28478.4375,5368,458,82.0352,1.217,0,0.0
6,08/05/2015,0.0,72225411.4375,0.0,0.00,72225411.4375,0,0,9749,579,16.51,0,0,0,27528.59375,5235,371,86.1558,1.328,0,0.0
7,08/06/2015,0.0,72252486.90625,0.0,0.00,72252486.90625,0,0,9790,584,16.89,0,0,0,27075.46875,5116,411,88.3326,1.381,0,0.0
8,08/07/2015,2.77,72279924.5625,200.215391038125,2.77,72279924.5625,2050,0,10314,633,16.65,604684154870,122980,49353826,27437.65625,5189,409,95.2981,1.4709999999999999,37318413511279304835,0.1317
9,08/08/2015,0.81,72307868.0,58.56937308,0.81,72307868.0,2881,0,10730,668,16.44,322713574989,1940277,376006093,27943.4375,5256,458,104.8971,1.5859999999999999,68099970071856826797,0.0468
10,08/09/2015,0.74,72335046.28125,53.527934248125,0.74,72335046.28125,1329,0,11004,618,16.86,475467129048,3141325,38863003,27178.28125,5123,421,109.6916,1.709,14098949703205590944,0.0024
11,08/10/2015,0.68,72362863.625,49.206747265,0.68,72362863.625,2037,0,11679,631,16.44,421654904254,3141511,74070061,27817.34375,5255,415,120.5988,1.838,31165144438378735884,0.0045
12,08/11/2015,1.06,72390891.4375,76.73434492375,1.06,72390891.4375,4963,0,13576,692,16.37,77838819162,3141521,163481740,28027.8125,5280,438,134.7695,2.036,11311448586019755030,0.0099
13,08/12/2015,1.25,72418262.375,90.52282796875,1.25,72418262.375,2036,0,13913,653,16.86,444902379011,3141555,70102332,27370.9375,5124,474,143.0004,2.207,32586992404377741650,0.0044
14,08/13/2015,1.78,72446530.5,128.95482429,1.78,72446530.5,2842,0,14459,666,16.34,268683475202,3141552,88234087,28268.125,5286,504,156.6101,2.3369999999999997,24929169109943118841,0.0053
15,08/14/2015,1.8,72477637.21875,130.45974699375,1.80,72477637.21875,3174,0,15024,660,14.88,193455494453,3141575,78746522,31106.71875,5809,555,196.7576,2.6710000000000003,14354834112827458118,0.0043
